freq,c0,c1,c2,c3,c4,c5,cNCCZ,cEBGZ,cCBGZ
9.5499e+00,-1.3000e+00,-1.7583e-03,-1.6704e+00,-7.1893e-04,6.2423e-01,-7.1020e+00,-3.3488e-01,1.9616e-01,3.8271e-01
1.0000e+01,-1.3000e+00,-1.8424e-03,-1.6847e+00,-6.8534e-04,6.1869e-01,-7.1006e+00,-3.6547e-01,1.7799e-01,3.6512e-01
1.0471e+01,-1.3000e+00,-1.9453e-03,-1.7061e+00,-6.4557e-04,6.1460e-01,-7.1037e+00,-3.7035e-01,1.5339e-01,3.3409e-01
1.0965e+01,-1.3000e+00,-2.0894e-03,-1.7485e+00,-5.7890e-04,6.1008e-01,-7.1069e+00,-3.8632e-01,1.3874e-01,3.1484e-01
1.1482e+01,-1.3000e+00,-2.2296e-03,-1.7801e+00,-5.2668e-04,6.0450e-01,-7.1033e+00,-4.0426e-01,1.3154e-01,3.1555e-01
1.2023e+01,-1.3000e+00,-2.3834e-03,-1.8240e+00,-4.6102e-04,5.9871e-01,-7.0990e+00,-4.3771e-01,1.3792e-01,3.1825e-01
1.2589e+01,-1.3000e+00,-2.5484e-03,-1.8746e+00,-4.2123e-04,5.9190e-01,-7.0963e+00,-4.6185e-01,1.5085e-01,3.2687e-01
1.3183e+01,-1.3000e+00,-2.7201e-03,-1.9085e+00,-3.8178e-04,5.8513e-01,-7.0998e+00,-4.7916e-01,1.7442e-01,3.5022e-01
1.3804e+01,-1.3000e+00,-2.9101e-03,-1.9533e+00,-3.7651e-04,5.7747e-01,-7.1011e+00,-4.9284e-01,2.0480e-01,3.7440e-01
1.4454e+01,-1.3000e+00,-3.1008e-03,-1.9898e+00,-3.6936e-04,5.6816e-01,-7.0987e+00,-4.9151e-01,2.4006e-01,4.0423e-01
1.5136e+01,-1.3000e+00,-3.2790e-03,-2.0069e+00,-3.6000e-04,5.5892e-01,-7.0995e+00,-4.9207e-01,2.7529e-01,4.4119e-01
1.5849e+01,-1.3000e+00,-3.4442e-03,-2.0237e+00,-3.5416e-04,5.4933e-01,-7.1001e+00,-4.9029e-01,3.0403e-01,4.7280e-01
1.6596e+01,-1.3000e+00,-3.6189e-03,-2.0113e+00,-3.4227e-04,5.4018e-01,-7.1021e+00,-4.9805e-01,3.2274e-01,4.9403e-01
